-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: SliceBackward0         2.37%      80.059ms        37.36%        1.264s     127.785us       0.000us         0.00%        1.062s     107.400us          9888  
    autograd::engine::evaluate_function: AddmmBackward0         0.26%       8.845ms         2.45%      82.742ms     139.767us       0.000us         0.00%     860.756ms       1.454ms           592  
                                         SliceBackward0         0.71%      24.042ms        31.76%        1.074s     108.617us       0.000us         0.00%     837.068ms      84.655us          9888  
                                   aten::slice_backward         1.69%      57.255ms        31.05%        1.050s     106.186us       0.000us         0.00%     837.068ms      84.655us          9888  
                                         AddmmBackward0         0.20%       6.744ms         1.43%      48.197ms      81.414us       0.000us         0.00%     831.535ms       1.405ms           592  
                                               aten::mm         0.56%      18.885ms         0.93%      31.564ms      26.659us     831.535ms        21.88%     831.535ms     702.310us          1184  
                                            aten::copy_         3.95%     133.662ms        18.99%     642.128ms      35.391us     658.519ms        17.32%     658.523ms      36.294us         18144  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     528.988ms        13.92%     528.988ms      55.660us          9504  
                                           aten::linear         0.13%       4.459ms         1.36%      45.986ms      76.643us       0.000us         0.00%     444.139ms     740.232us           600  
                                            aten::addmm         0.62%      20.821ms         0.94%      31.867ms      53.112us     444.139ms        11.68%     444.139ms     740.232us           600  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     419.879ms        11.05%     419.879ms     709.255us           592  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     410.470ms        10.80%     410.470ms      46.433us          8840  
                                              aten::add         2.11%      71.198ms         4.56%     154.293ms      28.446us     350.139ms         9.21%     350.139ms      64.554us          5424  
                                            aten::fill_         2.63%      88.880ms        12.35%     417.681ms      31.414us     328.923ms         8.65%     328.923ms      24.738us         13296  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     328.923ms         8.65%     328.923ms      24.738us         13296  
                                            aten::zero_         1.18%      40.066ms        13.33%     450.814ms      34.936us       0.000us         0.00%     327.727ms      25.397us         12904  
                                            aten::zeros         1.33%      44.984ms        16.94%     573.025ms      45.449us       0.000us         0.00%     317.890ms      25.213us         12608  
                                              aten::bmm         2.29%      77.490ms         5.05%     170.953ms      37.099us     298.853ms         7.86%     298.853ms      64.855us          4608  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     292.087ms         7.68%     292.087ms     500.149us           584  
