-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.38%       4.275ms         3.56%      40.197ms     132.227us       0.000us         0.00%     478.430ms       1.574ms           304  
                                         AddmmBackward0         0.29%       3.280ms         2.11%      23.798ms      78.283us       0.000us         0.00%     462.890ms       1.523ms           304  
                                               aten::mm         0.82%       9.205ms         1.41%      15.903ms      26.156us     462.890ms        39.81%     462.890ms     761.332us           608  
                                           aten::linear         0.20%       2.289ms         7.92%      89.308ms     293.776us       0.000us         0.00%     252.707ms     831.273us           304  
                                            aten::addmm         0.94%      10.590ms         7.27%      82.029ms     269.832us     252.707ms        21.73%     252.707ms     831.273us           304  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     238.560ms        20.52%     238.560ms     784.737us           304  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     154.870ms        13.32%     154.870ms     523.209us           296  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      97.499ms         8.39%      97.499ms       1.016ms            96  
                               Optimizer.step#Adam.step         4.81%      54.273ms        63.85%     719.998ms      90.000ms       0.000us         0.00%      96.358ms      12.045ms             8  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us      91.958ms         7.91%      91.958ms      11.495ms             8  
                                              aten::bmm         0.42%       4.736ms         1.16%      13.057ms      45.337us      89.205ms         7.67%      89.205ms     309.740us           288  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      71.559ms         6.15%      71.559ms     241.753us           296  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us      70.211ms         6.04%      70.211ms       8.776ms             8  
      autograd::engine::evaluate_function: BmmBackward0         0.08%     858.000us         0.59%       6.645ms      69.219us       0.000us         0.00%      57.490ms     598.854us            96  
                                           BmmBackward0         0.06%     713.000us         0.51%       5.787ms      60.281us       0.000us         0.00%      57.490ms     598.854us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.782ms         3.94%      45.782ms      23.169us          1976  
                                      aten::masked_fill         0.06%     700.000us         0.94%      10.622ms     110.646us       0.000us         0.00%      41.938ms     436.854us            96  
                                             aten::add_         2.23%      25.142ms        13.02%     146.870ms      43.711us      38.169ms         3.28%      38.169ms      11.360us          3360  
                                           aten::matmul         0.11%       1.220ms         2.20%      24.825ms     258.594us       0.000us         0.00%      37.678ms     392.479us            96  
