-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.45%      10.669ms         0.77%      17.979ms      22.701us     992.807ms        40.86%     992.807ms       1.254ms           792  
    autograd::engine::evaluate_function: AddmmBackward0         0.27%       6.322ms         1.99%      46.721ms     121.669us       0.000us         0.00%     616.047ms       1.604ms           384  
                                         AddmmBackward0         0.14%       3.234ms         1.06%      24.902ms      64.849us       0.000us         0.00%     597.440ms       1.556ms           384  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     437.527ms        18.01%     437.527ms       1.116ms           392  
                                            aten::addmm         0.69%      16.302ms         1.02%      23.865ms      62.148us     297.572ms        12.25%     297.572ms     774.927us           384  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     282.167ms        11.61%     282.167ms     734.810us           384  
       autograd::engine::evaluate_function: MmBackward0         0.00%      81.000us         0.03%     729.000us      91.125us       0.000us         0.00%     272.069ms      34.009ms             8  
                                            MmBackward0         0.00%      80.000us         0.03%     648.000us      81.000us       0.000us         0.00%     272.069ms      34.009ms             8  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     260.095ms        10.71%     260.095ms     903.108us           288  
                                           aten::matmul         0.10%       2.419ms         1.05%      24.627ms     123.135us       0.000us         0.00%     198.359ms     991.795us           200  
                               Optimizer.step#Adam.step         3.62%      84.991ms        84.70%        1.990s     248.738ms       0.000us         0.00%     180.900ms      22.613ms             8  
                                              aten::bmm         0.39%       9.249ms         0.58%      13.510ms      23.455us     177.540ms         7.31%     177.540ms     308.229us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.841ms         6.99%     169.841ms      38.460us          4416  
                                              aten::mul         0.68%      15.963ms         1.05%      24.731ms      21.468us     167.251ms         6.88%     167.251ms     145.183us          1152  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us     155.897ms         6.42%     155.897ms      19.487ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.281ms         5.12%     124.281ms      40.775us          3048  
                                           aten::linear         0.00%      40.000us         0.02%     542.000us      67.750us       0.000us         0.00%     123.298ms      15.412ms             8  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us     116.172ms         4.78%     116.172ms      14.521ms             8  
      autograd::engine::evaluate_function: BmmBackward0         0.08%       1.932ms         0.57%      13.347ms      69.516us       0.000us         0.00%     114.741ms     597.609us           192  
