-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         3.59%      71.507ms        10.36%     206.424ms      22.130us     567.853ms        26.52%     567.853ms      60.876us          9328  
    autograd::engine::evaluate_function: SliceBackward0         0.73%      14.602ms         8.75%     174.348ms      86.482us       0.000us         0.00%     463.310ms     229.816us          2016  
    autograd::engine::evaluate_function: AddmmBackward0         0.46%       9.142ms         5.64%     112.443ms     189.938us       0.000us         0.00%     433.088ms     731.568us           592  
                                         AddmmBackward0         0.36%       7.117ms         3.50%      69.668ms     117.682us       0.000us         0.00%     413.090ms     697.787us           592  
                                               aten::mm         1.22%      24.389ms         2.61%      52.016ms      43.932us     413.090ms        19.29%     413.090ms     348.894us          1184  
                                         SliceBackward0         0.25%       4.918ms         7.49%     149.306ms      74.061us       0.000us         0.00%     387.645ms     192.284us          2016  
                                   aten::slice_backward         0.61%      12.062ms         7.25%     144.388ms      71.621us       0.000us         0.00%     387.645ms     192.284us          2016  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     298.152ms        13.92%     298.152ms     115.028us          2592  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     268.062ms        12.52%     268.062ms      50.616us          5296  
                                           aten::linear         0.24%       4.832ms         2.79%      55.506ms      93.760us       0.000us         0.00%     227.336ms     384.014us           592  
                                            aten::addmm         1.26%      25.187ms         2.04%      40.636ms      68.642us     227.336ms        10.62%     227.336ms     384.014us           592  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     220.636ms        10.30%     220.636ms     320.692us           688  
                               Optimizer.step#Adam.step         5.35%     106.594ms        44.60%     888.480ms     111.060ms       0.000us         0.00%     194.998ms      24.375ms             8  
                                            aten::fill_         1.33%      26.419ms         4.47%      89.092ms      24.053us     181.552ms         8.48%     181.552ms      49.015us          3704  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     181.531ms         8.48%     181.531ms      49.116us          3696  
                                            aten::zero_         0.50%       9.885ms         4.31%      85.865ms      28.395us       0.000us         0.00%     163.979ms      54.226us          3024  
                                              aten::bmm         0.57%      11.358ms         0.97%      19.395ms      33.672us     157.333ms         7.35%     157.333ms     273.148us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     156.719ms         7.32%     156.719ms      38.039us          4120  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     156.325ms         7.30%     156.325ms     229.890us           680  
