-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: _ReversibleFunc...         0.01%     141.000us        64.12%        1.746s     218.312ms       0.000us         0.00%        1.830s     228.725ms             8  
                            _ReversibleFunctionBackward         2.93%      79.749ms        64.12%        1.746s     218.295ms       0.000us         0.00%        1.830s     228.725ms             8  
                                    _ReversibleFunction         1.64%      44.637ms        23.38%     636.734ms      79.592ms       0.000us         0.00%     693.951ms      86.744ms             8  
                                               aten::mm         0.45%      12.287ms         0.72%      19.478ms      22.134us     575.803ms        22.32%     575.803ms     654.322us           880  
                                           aten::matmul         0.16%       4.485ms         0.96%      26.018ms      49.277us       0.000us         0.00%     347.622ms     658.375us           528  
                                           aten::linear         0.09%       2.511ms         1.15%      31.453ms      58.681us       0.000us         0.00%     324.792ms     605.955us           536  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     308.486ms        11.96%     308.486ms     189.954us          1624  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     293.440ms        11.37%     293.440ms     547.463us           536  
                                              aten::bmm         0.26%       6.997ms         0.38%      10.432ms      25.569us     283.891ms        11.00%     283.891ms     695.811us           408  
       autograd::engine::evaluate_function: MmBackward0         0.04%       1.040ms         0.42%      11.360ms      67.619us       0.000us         0.00%     263.359ms       1.568ms           168  
                                            MmBackward0         0.06%       1.567ms         0.38%      10.320ms      61.429us       0.000us         0.00%     263.359ms       1.568ms           168  
    autograd::engine::evaluate_function: SliceBackward0         0.15%       4.167ms         1.53%      41.698ms      72.392us       0.000us         0.00%     257.804ms     447.576us           576  
                                            aten::copy_         0.44%      11.885ms        70.01%        1.907s       1.050ms     225.329ms         8.73%     225.329ms     124.080us          1816  
                                  sgemm_32x32x32_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     220.507ms         8.55%     220.507ms     810.688us           272  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     189.312ms         7.34%     189.312ms     422.571us           448  
                                         SliceBackward0         0.05%       1.274ms         1.23%      33.542ms      58.233us       0.000us         0.00%     179.949ms     312.411us           576  
                                   aten::slice_backward         0.13%       3.429ms         1.18%      32.268ms      56.021us       0.000us         0.00%     179.949ms     312.411us           576  
                                              aten::add         0.38%      10.300ms         0.58%      15.757ms      22.131us     164.473ms         6.37%     164.473ms     231.001us           712  
                                              aten::cat         0.59%      15.947ms         1.01%      27.564ms      43.614us     155.623ms         6.03%     155.623ms     246.239us           632  
