-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.08%      41.043ms         3.46%      68.395ms      29.379us     703.734ms        35.31%     703.734ms     302.291us          2328  
       autograd::engine::evaluate_function: MmBackward0         0.36%       7.140ms         3.68%      72.803ms      93.818us       0.000us         0.00%     482.904ms     622.299us           776  
                                            MmBackward0         0.43%       8.495ms         3.32%      65.663ms      84.617us       0.000us         0.00%     482.904ms     622.299us           776  
                                              aten::bmm         0.68%      13.389ms         1.01%      19.865ms      22.992us     362.659ms        18.20%     362.659ms     419.744us           864  
                                           aten::matmul         0.43%       8.483ms         3.47%      68.633ms      64.505us       0.000us         0.00%     357.855ms     336.330us          1064  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     263.457ms        13.22%     263.457ms     339.506us           776  
      autograd::engine::evaluate_function: BmmBackward0         0.14%       2.750ms         0.98%      19.459ms      67.566us       0.000us         0.00%     237.127ms     823.358us           288  
                                           BmmBackward0         0.12%       2.308ms         0.85%      16.709ms      58.017us       0.000us         0.00%     237.127ms     823.358us           288  
                                           aten::linear         0.12%       2.375ms         2.13%      42.051ms      54.189us       0.000us         0.00%     220.830ms     284.575us           776  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     220.830ms        11.08%     220.830ms     284.575us           776  
                                             aten::add_         1.74%      34.418ms         3.47%      68.565ms      15.784us     199.516ms        10.01%     199.516ms      45.929us          4344  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     175.908ms         8.83%     175.908ms     203.597us           864  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     151.961ms         7.63%     151.961ms       1.266ms           120  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     135.739ms         6.81%     135.739ms     471.316us           288  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     125.532ms         6.30%     125.532ms     435.875us           288  
autograd::engine::evaluate_function: SoftmaxBackward...         0.05%     943.000us         0.37%       7.254ms      50.375us       0.000us         0.00%     124.744ms     866.278us           144  
                                       SoftmaxBackward0         0.03%     627.000us         0.32%       6.311ms      43.826us       0.000us         0.00%     124.744ms     866.278us           144  
                           aten::_softmax_backward_data         0.11%       2.165ms         0.29%       5.684ms      39.472us      62.442ms         3.13%     124.744ms     866.278us           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     116.476ms         5.84%     116.476ms      35.773us          3256  
