-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.43%      36.630ms        26.35%        2.232s     198.196us       0.000us         0.00%     454.523ms      40.352us         11264  
                                      aten::convolution         1.16%      98.229ms        25.92%        2.196s     194.944us       0.000us         0.00%     454.523ms      40.352us         11264  
                                     aten::_convolution         1.54%     130.509ms        24.76%        2.098s     186.223us       0.000us         0.00%     454.523ms      40.352us         11264  
autograd::engine::evaluate_function: ConvolutionBack...         0.89%      75.267ms        23.25%        1.970s     320.686us       0.000us         0.00%     412.134ms      67.079us          6144  
                                   ConvolutionBackward0         0.41%      34.372ms        22.37%        1.895s     308.436us       0.000us         0.00%     412.134ms      67.079us          6144  
                             aten::convolution_backward        15.01%        1.272s        21.96%        1.861s     302.841us     369.661ms        30.65%     412.134ms      67.079us          6144  
                                aten::cudnn_convolution        16.60%        1.406s        19.89%        1.685s     149.605us     395.237ms        32.78%     395.237ms      35.089us         11264  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     225.383ms        18.69%     225.383ms      32.607us          6912  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 4, 6, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     107.704ms         8.93%     107.704ms      35.060us          3072  
     maxwell_scudnn_128x32_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     107.360ms         8.90%     107.360ms      34.948us          3072  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     100.758ms         8.36%     100.758ms      65.598us          1536  
                                       aten::batch_norm         0.35%      29.581ms        11.08%     938.411ms      83.311us       0.000us         0.00%      84.654ms       7.515us         11264  
                           aten::_batch_norm_impl_index         0.44%      37.682ms        10.73%     908.830ms      80.684us       0.000us         0.00%      84.654ms       7.515us         11264  
                                 aten::cudnn_batch_norm         5.01%     424.151ms        10.28%     871.148ms      77.339us      84.654ms         7.02%      84.654ms       7.515us         11264  
                                              aten::sum         2.57%     217.365ms         4.11%     347.864ms      37.746us      59.485ms         4.93%      63.571ms       6.898us          9216  
                                             aten::add_         2.01%     170.267ms         3.27%     277.294ms      20.805us      62.744ms         5.20%      62.744ms       4.708us         13328  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      59.286ms         4.92%      59.286ms       5.263us         11264  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      51.242ms         4.25%      51.242ms      33.361us          1536  
