-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.32%      65.435ms        37.46%        7.762s       2.021ms       0.000us         0.00%        1.203s     313.158us          3840  
                        CudnnBatchNormBackwardBackward0         4.71%     976.217ms        36.81%        7.627s       1.986ms       0.000us         0.00%        1.196s     311.559us          3840  
autograd::engine::evaluate_function: ConvolutionBack...         0.68%     141.281ms        11.91%        2.468s     292.186us       0.000us         0.00%     693.719ms      82.116us          8448  
                                   ConvolutionBackward0         0.23%      48.420ms        10.36%        2.148s     254.238us       0.000us         0.00%     676.141ms      80.036us          8448  
                             aten::convolution_backward         6.43%        1.332s        10.13%        2.099s     248.507us     563.087ms        16.93%     676.141ms      80.036us          8448  
                                              aten::sum         9.34%        1.935s        13.99%        2.898s      20.622us     625.917ms        18.81%     625.917ms       4.454us        140544  
                                      aten::convolution         0.50%     102.860ms        13.13%        2.721s     156.330us       0.000us         0.00%     567.918ms      32.624us         17408  
                                     aten::_convolution         0.73%     151.201ms        12.64%        2.619s     150.421us       0.000us         0.00%     567.918ms      32.624us         17408  
                                              aten::mul         9.33%        1.934s        14.83%        3.073s      18.051us     482.076ms        14.49%     482.076ms       2.832us        170240  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     421.351ms        12.67%     421.351ms       4.286us         98304  
                                aten::cudnn_convolution         7.60%        1.576s         9.01%        1.866s     137.565us     409.156ms        12.30%     409.156ms      30.156us         13568  
autograd::engine::evaluate_function: ConvolutionBack...         0.29%      60.934ms        11.27%        2.335s     607.960us       0.000us         0.00%     402.499ms     104.817us          3840  
                           ConvolutionBackwardBackward0         0.13%      25.924ms        10.65%        2.207s     574.634us       0.000us         0.00%     393.094ms     102.368us          3840  
                     aten::_convolution_double_backward         0.55%     114.281ms        10.52%        2.181s     567.883us       0.000us         0.00%     393.094ms     102.368us          3840  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     280.414ms         8.43%     280.414ms       4.213us         66560  
                                           aten::conv2d         0.08%      16.275ms         4.71%     976.630ms     211.942us       0.000us         0.00%     208.605ms      45.270us          4608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     205.344ms         6.17%     205.344ms       2.060us         99696  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     204.566ms         6.15%     204.566ms       4.843us         42240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     199.608ms         6.00%     199.608ms       4.935us         40448  
