-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.22%       5.135ms         3.38%      78.998ms     189.899us       0.000us         0.00%        1.287s       3.093ms           416  
                                   ConvolutionBackward0         0.10%       2.311ms         3.08%      71.914ms     172.870us       0.000us         0.00%        1.279s       3.075ms           416  
                             aten::convolution_backward         2.04%      47.762ms         2.98%      69.603ms     167.315us        1.279s        55.11%        1.279s       3.075ms           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     370.165ms        15.95%     370.165ms       2.722ms           136  
                                           aten::conv2d         0.05%       1.248ms         1.99%      46.518ms     111.822us       0.000us         0.00%     344.405ms     827.897us           416  
                                      aten::convolution         0.17%       4.070ms         1.94%      45.270ms     108.822us       0.000us         0.00%     344.405ms     827.897us           416  
                                     aten::_convolution         0.12%       2.775ms         1.76%      41.200ms      99.038us       0.000us         0.00%     344.405ms     827.897us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.21%       4.872ms         1.37%      32.133ms      77.243us       0.000us         0.00%     280.854ms     675.130us           416  
                                CudnnBatchNormBackward0         0.07%       1.636ms         1.17%      27.261ms      65.531us       0.000us         0.00%     280.854ms     675.130us           416  
                        aten::cudnn_batch_norm_backward         0.53%      12.487ms         1.10%      25.625ms      61.599us     280.854ms        12.10%     280.854ms     675.130us           416  
                                aten::_conv_depthwise2d         0.06%       1.488ms         0.19%       4.405ms      32.390us     238.290ms        10.27%     238.290ms       1.752ms           136  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     169.039ms         7.28%     169.039ms       2.348ms            72  
                                       aten::batch_norm         0.03%     801.000us         1.48%      34.493ms      82.916us       0.000us         0.00%     163.037ms     391.916us           416  
                           aten::_batch_norm_impl_index         0.05%       1.266ms         1.44%      33.692ms      80.990us       0.000us         0.00%     163.037ms     391.916us           416  
                                 aten::cudnn_batch_norm         0.70%      16.386ms         1.39%      32.426ms      77.947us     163.037ms         7.02%     163.037ms     391.916us           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     162.305ms         6.99%     162.305ms       3.381ms            48  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     140.411ms         6.05%     140.411ms       2.507ms            56  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     133.806ms         5.76%     133.806ms     696.906us           192  
