-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.82%       5.337ms        11.63%      75.927ms     182.517us       0.000us         0.00%     293.783ms     706.209us           416  
                                   ConvolutionBackward0         0.35%       2.284ms        10.51%      68.639ms     164.998us       0.000us         0.00%     292.334ms     702.726us           416  
                             aten::convolution_backward         6.84%      44.652ms        10.16%      66.355ms     159.507us     292.334ms        45.51%     292.334ms     702.726us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.79%       5.134ms         4.88%      31.873ms      76.618us       0.000us         0.00%      86.004ms     206.740us           416  
                                CudnnBatchNormBackward0         0.27%       1.765ms         4.10%      26.739ms      64.276us       0.000us         0.00%      86.004ms     206.740us           416  
                        aten::cudnn_batch_norm_backward         1.95%      12.730ms         3.83%      24.974ms      60.034us      86.004ms        13.39%      86.004ms     206.740us           416  
                                           aten::conv2d         0.21%       1.344ms         7.18%      46.870ms     112.668us       0.000us         0.00%      84.998ms     204.322us           416  
                                      aten::convolution         0.60%       3.910ms         6.97%      45.526ms     109.438us       0.000us         0.00%      84.998ms     204.322us           416  
                                     aten::_convolution         0.43%       2.798ms         6.37%      41.616ms     100.038us       0.000us         0.00%      84.998ms     204.322us           416  
                                        aten::hardtanh_         0.45%       2.912ms         3.16%      20.613ms      73.618us       0.000us         0.00%      58.502ms     208.936us           280  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      56.366ms         8.77%      56.366ms     414.456us           136  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      55.619ms         8.66%      55.619ms     534.798us           104  
                                aten::_conv_depthwise2d         0.22%       1.454ms         0.67%       4.352ms      32.000us      54.741ms         8.52%      54.741ms     402.507us           136  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      54.741ms         8.52%      54.741ms     402.507us           136  
                                       aten::batch_norm         0.13%     871.000us         5.38%      35.146ms      84.486us       0.000us         0.00%      51.474ms     123.736us           416  
                           aten::_batch_norm_impl_index         0.20%       1.306ms         5.25%      34.275ms      82.392us       0.000us         0.00%      51.474ms     123.736us           416  
                                 aten::cudnn_batch_norm         2.57%      16.801ms         5.05%      32.969ms      79.252us      51.474ms         8.01%      51.474ms     123.736us           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      46.626ms         7.26%      46.626ms       1.457ms            32  
autograd::engine::evaluate_function: HardtanhBackwar...         0.35%       2.268ms         1.58%      10.289ms      36.746us       0.000us         0.00%      43.285ms     154.589us           280  
