-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.48%       5.365ms         6.78%      75.609ms     181.752us       0.000us         0.00%     160.002ms     384.620us           416  
                                   ConvolutionBackward0         0.19%       2.149ms         6.13%      68.328ms     164.250us       0.000us         0.00%     159.271ms     382.863us           416  
                             aten::convolution_backward         4.03%      44.987ms         5.93%      66.179ms     159.084us     159.271ms        24.56%     159.271ms     382.863us           416  
      autograd::engine::evaluate_function: DivBackward0         1.03%      11.478ms         7.10%      79.184ms      95.173us       0.000us         0.00%     109.131ms     131.167us           832  
                  aten::fused_moving_avg_obs_fake_quant         0.25%       2.753ms        25.05%     279.322ms     225.260us       0.000us         0.00%     107.087ms      86.360us          1240  
                  aten::_fused_moving_avg_obs_fq_helper         2.90%      32.365ms        24.80%     276.569ms     223.040us       6.345ms         0.98%     107.087ms      86.360us          1240  
                                           DivBackward0         0.58%       6.464ms         4.61%      51.365ms      61.737us       0.000us         0.00%      94.781ms     113.919us           832  
                                              aten::div         4.79%      53.425ms         7.24%      80.696ms      21.416us      75.428ms        11.63%      75.428ms      20.018us          3768  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      71.888ms        11.09%      71.888ms      43.202us          1664  
                                              aten::mul         3.53%      39.323ms         5.50%      61.299ms      21.167us      68.861ms        10.62%      68.861ms      23.778us          2896  
                                           aten::conv2d         0.13%       1.425ms         5.01%      55.886ms     134.341us       0.000us         0.00%      58.651ms     140.988us           416  
                                      aten::convolution         0.37%       4.128ms         4.88%      54.461ms     130.916us       0.000us         0.00%      58.651ms     140.988us           416  
                                     aten::_convolution         0.40%       4.442ms         4.51%      50.333ms     120.993us       0.000us         0.00%      58.651ms     140.988us           416  
aten::_fake_quantize_per_tensor_affine_cachemask_ten...         0.82%       9.193ms         2.69%      29.946ms      36.699us      58.057ms         8.95%      58.057ms      71.148us           816  
void at::native::(anonymous namespace)::unrolled_ele...         0.00%       0.000us         0.00%       0.000us       0.000us      58.057ms         8.95%      58.057ms      71.148us           816  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.44%       4.917ms         2.81%      31.309ms      75.262us       0.000us         0.00%      42.413ms     101.954us           416  
                                CudnnBatchNormBackward0         0.16%       1.821ms         2.37%      26.392ms      63.442us       0.000us         0.00%      42.413ms     101.954us           416  
                        aten::cudnn_batch_norm_backward         1.14%      12.765ms         2.20%      24.571ms      59.065us      42.413ms         6.54%      42.413ms     101.954us           416  
