-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.52%       5.551ms         6.71%      72.185ms     173.522us       0.000us         0.00%     103.785ms     249.483us           416  
                                   ConvolutionBackward0         0.20%       2.112ms         6.02%      64.690ms     155.505us       0.000us         0.00%     103.356ms     248.452us           416  
                             aten::convolution_backward         3.94%      42.349ms         5.82%      62.578ms     150.428us     103.356ms        23.74%     103.356ms     248.452us           416  
                  aten::fused_moving_avg_obs_fake_quant         0.27%       2.902ms        21.99%     236.433ms     190.672us       0.000us         0.00%      81.287ms      65.554us          1240  
                  aten::_fused_moving_avg_obs_fq_helper         2.86%      30.783ms        21.72%     233.531ms     188.331us       7.395ms         1.70%      81.287ms      65.554us          1240  
      autograd::engine::evaluate_function: DivBackward0         1.12%      12.090ms         7.61%      81.821ms      98.343us       0.000us         0.00%      65.754ms      79.031us           832  
                                           DivBackward0         0.65%       6.962ms         4.93%      52.957ms      63.650us       0.000us         0.00%      54.201ms      65.145us           832  
                                              aten::div         4.84%      51.982ms         7.49%      80.496ms      21.363us      48.655ms        11.18%      48.655ms      12.913us          3768  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.032ms        10.11%      44.032ms      26.462us          1664  
                                              aten::mul         3.54%      38.107ms         5.71%      61.346ms      21.183us      40.912ms         9.40%      40.912ms      14.127us          2896  
                                           aten::conv2d         0.13%       1.384ms         4.99%      53.644ms     128.952us       0.000us         0.00%      40.153ms      96.522us           416  
                                      aten::convolution         0.40%       4.288ms         4.86%      52.260ms     125.625us       0.000us         0.00%      40.153ms      96.522us           416  
                                     aten::_convolution         0.43%       4.635ms         4.46%      47.972ms     115.317us       0.000us         0.00%      40.153ms      96.522us           416  
aten::_fake_quantize_per_tensor_affine_cachemask_ten...         0.88%       9.409ms         2.69%      28.952ms      35.480us      35.781ms         8.22%      35.781ms      43.849us           816  
void at::native::(anonymous namespace)::unrolled_ele...         0.00%       0.000us         0.00%       0.000us       0.000us      35.781ms         8.22%      35.781ms      43.849us           816  
autograd::engine::evaluate_function: FusedMovingAvgO...         0.80%       8.631ms         3.68%      39.609ms      32.150us       0.000us         0.00%      24.874ms      20.190us          1232  
                     FusedMovingAvgObsFqHelperBackward0         0.27%       2.869ms         2.88%      30.978ms      25.144us       0.000us         0.00%      24.874ms      20.190us          1232  
aten::fake_quantize_per_tensor_affine_cachemask_back...         0.18%       1.888ms         2.61%      28.109ms      22.816us       0.000us         0.00%      24.874ms      20.190us          1232  
