-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.99%       6.013ms        14.31%      86.782ms     174.964us       0.000us         0.00%     141.643ms     285.571us           496  
                                   ConvolutionBackward0         0.44%       2.678ms        13.02%      78.927ms     159.127us       0.000us         0.00%     140.169ms     282.599us           496  
                             aten::convolution_backward         8.24%      49.989ms        12.58%      76.249ms     153.728us     139.430ms        47.62%     140.169ms     282.599us           496  
                                           aten::conv2d         0.26%       1.586ms         8.98%      54.439ms     109.756us       0.000us         0.00%      37.730ms      76.069us           496  
                                      aten::convolution         0.77%       4.641ms         8.72%      52.853ms     106.558us       0.000us         0.00%      37.730ms      76.069us           496  
                                     aten::_convolution         0.64%       3.855ms         7.95%      48.212ms      97.202us       0.000us         0.00%      37.730ms      76.069us           496  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      31.988ms        10.93%      31.988ms     266.567us           120  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.70%       4.244ms         4.51%      27.338ms      74.288us       0.000us         0.00%      28.163ms      76.530us           368  
                                CudnnBatchNormBackward0         0.25%       1.535ms         3.81%      23.094ms      62.755us       0.000us         0.00%      28.163ms      76.530us           368  
                        aten::cudnn_batch_norm_backward         1.82%      11.064ms         3.56%      21.559ms      58.584us      28.163ms         9.62%      28.163ms      76.530us           368  
                                aten::_conv_depthwise2d         0.20%       1.221ms         0.61%       3.673ms      30.608us      21.128ms         7.22%      21.128ms     176.067us           120  
                               Optimizer.step#Adam.step        14.06%      85.268ms        46.28%     280.634ms      35.079ms       0.000us         0.00%      19.930ms       2.491ms             8  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.055ms         6.17%      18.055ms     161.205us           112  
                                       aten::batch_norm         0.13%     815.000us         5.23%      31.695ms      86.128us       0.000us         0.00%      17.630ms      47.908us           368  
                           aten::_batch_norm_impl_index         0.19%       1.144ms         5.09%      30.880ms      83.913us       0.000us         0.00%      17.630ms      47.908us           368  
                                 aten::cudnn_batch_norm         2.39%      14.519ms         4.90%      29.736ms      80.804us      17.630ms         6.02%      17.630ms      47.908us           368  
                                aten::cudnn_convolution         4.98%      30.221ms         6.19%      37.542ms      99.846us      16.282ms         5.56%      16.282ms      43.303us           376  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      13.247ms         4.52%      13.247ms     183.986us            72  
