-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.99%       6.091ms        14.72%      90.553ms     182.567us       0.000us         0.00%     246.221ms     496.413us           496  
                                   ConvolutionBackward0         0.43%       2.621ms        13.44%      82.644ms     166.621us       0.000us         0.00%     243.312ms     490.548us           496  
                             aten::convolution_backward         8.72%      53.616ms        13.01%      80.023ms     161.337us     242.504ms        47.63%     243.312ms     490.548us           496  
                                           aten::conv2d         0.26%       1.589ms         9.45%      58.113ms     117.163us       0.000us         0.00%      66.594ms     134.262us           496  
                                      aten::convolution         0.74%       4.544ms         9.19%      56.524ms     113.960us       0.000us         0.00%      66.594ms     134.262us           496  
                                     aten::_convolution         0.66%       4.034ms         8.45%      51.980ms     104.798us       0.000us         0.00%      66.594ms     134.262us           496  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.70%       4.318ms         4.41%      27.122ms      73.701us       0.000us         0.00%      57.320ms     155.761us           368  
                                CudnnBatchNormBackward0         0.24%       1.467ms         3.71%      22.804ms      61.967us       0.000us         0.00%      57.320ms     155.761us           368  
                        aten::cudnn_batch_norm_backward         1.78%      10.949ms         3.47%      21.337ms      57.981us      57.320ms        11.26%      57.320ms     155.761us           368  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      55.272ms        10.86%      55.272ms     460.600us           120  
                                aten::_conv_depthwise2d         0.20%       1.231ms         0.60%       3.690ms      30.750us      39.494ms         7.76%      39.494ms     329.117us           120  
                                       aten::batch_norm         0.13%     810.000us         4.94%      30.406ms      82.625us       0.000us         0.00%      33.615ms      91.345us           368  
                           aten::_batch_norm_impl_index         0.18%       1.130ms         4.81%      29.596ms      80.424us       0.000us         0.00%      33.615ms      91.345us           368  
                                 aten::cudnn_batch_norm         2.36%      14.497ms         4.63%      28.466ms      77.353us      33.615ms         6.60%      33.615ms      91.345us           368  
                                aten::cudnn_convolution         5.44%      33.441ms         6.68%      41.108ms     109.330us      26.771ms         5.26%      26.771ms      71.199us           376  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      24.825ms         4.88%      24.825ms     344.792us            72  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      23.840ms         4.68%      23.840ms       1.490ms            16  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      23.839ms         4.68%      23.839ms     425.696us            56  
