-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.05%      18.572ms         5.43%      95.835ms      41.595us        1.083s        59.87%        1.083s     470.235us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.083s        59.87%        1.083s     470.235us          2304  
                                Optimizer.step#SGD.step         1.00%      17.631ms         9.26%     163.313ms       2.552ms       0.000us         0.00%     965.419ms      15.085ms            64  
autograd::engine::evaluate_function: torch::autograd...         0.19%       3.357ms         1.26%      22.192ms      28.896us       0.000us         0.00%     361.168ms     470.271us           768  
                        torch::autograd::AccumulateGrad         0.21%       3.641ms         1.07%      18.835ms      24.525us       0.000us         0.00%     361.168ms     470.271us           768  
                                             aten::mul_         0.42%       7.323ms         3.68%      64.943ms      84.561us     243.166ms        13.44%     243.166ms     316.622us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     243.166ms        13.44%     243.166ms     316.622us           768  
    autograd::engine::evaluate_function: AddmmBackward0         0.30%       5.315ms        24.10%     425.139ms       1.107ms       0.000us         0.00%     237.382ms     618.182us           384  
                                         AddmmBackward0         0.22%       3.960ms        14.74%     260.136ms     677.438us       0.000us         0.00%     235.060ms     612.135us           384  
                                               aten::mm         0.67%      11.865ms        14.18%     250.215ms     355.419us     235.060ms        12.99%     235.060ms     333.892us           704  
                                           aten::linear         0.09%       1.578ms         1.74%      30.765ms      80.117us       0.000us         0.00%     130.021ms     338.596us           384  
                                            aten::addmm         0.84%      14.903ms         1.43%      25.223ms      65.685us     130.021ms         7.18%     130.021ms     338.596us           384  
void gemmk1_kernel<float, 256, 5, false, false, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     117.600ms         6.50%     117.600ms     306.250us           384  
void gemv2N_kernel<int, int, float, float, float, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     116.666ms         6.45%     116.666ms     455.727us           256  
                                            aten::fill_         0.30%       5.227ms        21.28%     375.494ms     419.078us     109.888ms         6.07%     109.888ms     122.643us           896  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     109.888ms         6.07%     109.888ms     122.643us           896  
                                            aten::zero_         0.27%       4.844ms        21.49%     379.238ms     395.040us       0.000us         0.00%     109.810ms     114.385us           960  
                      Optimizer.zero_grad#SGD.zero_grad         0.30%       5.337ms        16.26%     286.803ms       4.481ms       0.000us         0.00%     109.682ms       1.714ms            64  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us      67.334ms         3.72%      67.334ms       1.052ms            64  
