-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.99%      18.893ms        27.47%     522.468ms     226.766us        1.083s        55.67%        1.083s     470.268us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.083s        55.67%        1.083s     470.268us          2304  
                                Optimizer.step#SGD.step         0.90%      17.133ms        19.01%     361.556ms       5.649ms       0.000us         0.00%     965.494ms      15.086ms            64  
autograd::engine::evaluate_function: torch::autograd...         0.19%       3.520ms        16.30%     309.885ms     403.496us       0.000us         0.00%     361.317ms     470.465us           768  
                        torch::autograd::AccumulateGrad         0.19%       3.664ms        16.11%     306.365ms     398.913us       0.000us         0.00%     361.317ms     470.465us           768  
                                           aten::linear         0.08%       1.540ms        24.56%     467.100ms       1.216ms       0.000us         0.00%     252.662ms     657.974us           384  
                                            aten::addmm         0.72%      13.696ms        24.28%     461.676ms       1.202ms     252.662ms        12.98%     252.662ms     657.974us           384  
                                             aten::mul_         0.36%       6.898ms         6.55%     124.557ms     162.184us     243.313ms        12.50%     243.313ms     316.814us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     243.313ms        12.50%     243.313ms     316.814us           768  
    autograd::engine::evaluate_function: AddmmBackward0         0.30%       5.710ms        15.65%     297.637ms     775.096us       0.000us         0.00%     241.705ms     629.440us           384  
                                         AddmmBackward0         0.21%       4.053ms         5.43%     103.215ms     268.789us       0.000us         0.00%     238.557ms     621.242us           384  
                                               aten::mm         0.55%      10.486ms         4.88%      92.841ms     131.876us     238.557ms        12.26%     238.557ms     338.859us           704  
void sgemm_largek_lds64<true, false, 6, 3, 4, 5, 2, ...         0.00%       0.000us         0.00%       0.000us       0.000us     184.908ms         9.50%     184.908ms       2.889ms            64  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us     119.196ms         6.12%     119.196ms     931.219us           128  
void sgemm_largek_lds64<false, false, 6, 3, 4, 5, 2,...         0.00%       0.000us         0.00%       0.000us       0.000us     112.310ms         5.77%     112.310ms       1.755ms            64  
                                            aten::fill_         0.26%       4.983ms         0.57%      10.770ms      12.020us     110.114ms         5.66%     110.114ms     122.895us           896  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.114ms         5.66%     110.114ms     122.895us           896  
                                            aten::zero_         0.22%       4.230ms         0.74%      14.018ms      14.602us       0.000us         0.00%     110.050ms     114.635us           960  
