-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.03%       1.920ms         1.19%      76.029ms     500.191us       0.000us         0.00%        3.420s      22.499ms           152  
                                   ConvolutionBackward0         0.01%     798.000us         1.16%      74.109ms     487.559us       0.000us         0.00%        3.420s      22.499ms           152  
                             aten::convolution_backward         0.89%      56.480ms         1.15%      73.311ms     482.309us        3.379s        53.64%        3.420s      22.499ms           152  
                                           aten::conv2d         0.03%       1.928ms         1.44%      91.705ms     301.661us       0.000us         0.00%        2.626s       8.638ms           304  
                                      aten::convolution         0.02%       1.432ms         0.61%      38.849ms     255.586us       0.000us         0.00%        1.311s       8.625ms           152  
                                     aten::_convolution         0.03%       1.824ms         0.59%      37.417ms     246.164us       0.000us         0.00%        1.311s       8.625ms           152  
                                aten::cudnn_convolution         0.43%      27.339ms         0.50%      31.649ms     208.217us        1.210s        19.21%        1.210s       7.959ms           152  
maxwell_fp16_scudnn_fp16_128x64_stridedB_small_nn_v0...         0.00%       0.000us         0.00%       0.000us       0.000us        1.197s        19.01%        1.197s       9.353ms           128  
autograd::engine::evaluate_function: UpsampleBilinea...         0.00%     221.000us         0.03%       1.737ms      54.281us       0.000us         0.00%     943.264ms      29.477ms            32  
                            UpsampleBilinear2DBackward1         0.00%     111.000us         0.02%       1.516ms      47.375us       0.000us         0.00%     943.264ms      29.477ms            32  
                     aten::upsample_bilinear2d_backward         0.01%     595.000us         0.02%       1.405ms      43.906us     942.091ms        14.96%     943.264ms      29.477ms            32  
void at::native::(anonymous namespace)::upsample_bil...         0.00%       0.000us         0.00%       0.000us       0.000us     942.091ms        14.96%     942.091ms      29.440ms            32  
void cudnn::cnn::wgrad_alg1_engine<__half, float, 12...         0.00%       0.000us         0.00%       0.000us       0.000us     522.333ms         8.29%     522.333ms      65.292ms             8  
     maxwell_fp16_scudnn_fp16_128x128_relu_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     519.213ms         8.24%     519.213ms       8.113ms            64  
       maxwell_fp16_scudnn_fp16_128x32_relu_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     511.417ms         8.12%     511.417ms      10.655ms            48  
maxwell_fp16_scudnn_fp16_128x64_stridedB_splitK_larg...         0.00%       0.000us         0.00%       0.000us       0.000us     486.771ms         7.73%     486.771ms       8.692ms            56  
void cudnn::cnn::wgrad_alg1_engine<__half, float, 12...         0.00%       0.000us         0.00%       0.000us       0.000us     441.698ms         7.01%     441.698ms      18.404ms            24  
