-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.87%       2.013ms        15.27%      35.313ms     220.706us       0.000us         0.00%      52.198ms     326.238us           160  
                                   ConvolutionBackward0         0.38%     872.000us        13.75%      31.795ms     198.719us       0.000us         0.00%      51.346ms     320.913us           160  
                             aten::convolution_backward         9.72%      22.471ms        13.37%      30.923ms     193.269us      51.346ms        44.96%      51.346ms     320.913us           160  
                               Optimizer.step#Adam.step        13.62%      31.497ms        44.69%     103.333ms      12.917ms       0.000us         0.00%      22.521ms       2.815ms             8  
                                           aten::conv2d         0.22%     506.000us         9.70%      22.425ms     140.156us       0.000us         0.00%      17.897ms     111.856us           160  
                                      aten::convolution         0.64%       1.476ms         9.48%      21.919ms     136.994us       0.000us         0.00%      17.897ms     111.856us           160  
                                     aten::_convolution         0.40%     926.000us         8.84%      20.443ms     127.769us       0.000us         0.00%      17.897ms     111.856us           160  
                                aten::cudnn_convolution         6.50%      15.034ms         8.44%      19.517ms     121.981us      17.897ms        15.67%      17.897ms     111.856us           160  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      10.976ms         9.61%      10.976ms     228.667us            48  
                                             aten::add_         8.23%      19.037ms        15.73%      36.379ms      16.476us       9.849ms         8.62%       9.849ms       4.461us          2208  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.092ms         7.08%       8.092ms       7.225us          1120  
     maxwell_scudnn_128x32_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us       7.766ms         6.80%       7.766ms     242.688us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.306ms         6.40%       7.306ms       4.858us          1504  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile4...         0.00%       0.000us         0.00%       0.000us       0.000us       5.410ms         4.74%       5.410ms     112.708us            48  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.332ms         4.67%       5.332ms      95.214us            56  
                                             aten::mul_         3.54%       8.194ms         6.71%      15.527ms      15.652us       4.974ms         4.35%       4.974ms       5.014us           992  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.76%       1.757ms         5.12%      11.838ms      73.987us       0.000us         0.00%       4.879ms      30.494us           160  
                                CudnnBatchNormBackward0         0.30%     687.000us         4.36%      10.081ms      63.006us       0.000us         0.00%       4.879ms      30.494us           160  
