-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.49%       6.266ms         8.31%     106.070ms     250.165us       0.000us         0.00%     350.813ms     827.389us           424  
                                   ConvolutionBackward0         0.18%       2.293ms         7.57%      96.622ms     227.882us       0.000us         0.00%     332.310ms     783.750us           424  
                             aten::convolution_backward         5.16%      65.915ms         7.39%      94.329ms     222.474us     332.310ms        29.21%     332.310ms     783.750us           424  
      autograd::engine::evaluate_function: DivBackward0         1.04%      13.242ms         6.80%      86.796ms     102.354us       0.000us         0.00%     169.847ms     200.291us           848  
                                           DivBackward0         0.55%       7.031ms         4.34%      55.366ms      65.290us       0.000us         0.00%     150.312ms     177.255us           848  
                  aten::fused_moving_avg_obs_fake_quant         0.19%       2.488ms        23.33%     297.962ms     290.979us       0.000us         0.00%     141.366ms     138.053us          1024  
                  aten::_fused_moving_avg_obs_fq_helper         2.12%      27.092ms        23.14%     295.474ms     288.549us       5.984ms         0.53%     141.366ms     138.053us          1024  
                                           aten::conv2d         0.11%       1.433ms         6.00%      76.680ms     180.849us       0.000us         0.00%     136.697ms     322.399us           424  
                                      aten::convolution         0.33%       4.267ms         5.89%      75.247ms     177.469us       0.000us         0.00%     136.697ms     322.399us           424  
                                     aten::_convolution         0.41%       5.277ms         5.56%      70.980ms     167.406us       0.000us         0.00%     136.697ms     322.399us           424  
                                              aten::div         4.30%      54.874ms         7.17%      91.590ms      23.852us     122.775ms        10.79%     122.775ms      31.973us          3840  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     116.580ms        10.25%     116.580ms      68.738us          1696  
                                aten::cudnn_convolution         3.49%      44.544ms         4.30%      54.935ms     129.564us     109.099ms         9.59%     109.099ms     257.309us           424  
                                              aten::mul         2.98%      38.087ms         4.75%      60.616ms      22.351us     104.042ms         9.15%     104.042ms      38.364us          2712  
aten::_fake_quantize_per_tensor_affine_cachemask_ten...         0.52%       6.693ms         2.19%      27.961ms      47.231us      77.626ms         6.82%      77.626ms     131.125us           592  
void at::native::(anonymous namespace)::unrolled_ele...         0.00%       0.000us         0.00%       0.000us       0.000us      77.626ms         6.82%      77.626ms     131.125us           592  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      72.909ms         6.41%      72.909ms     455.681us           160  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      59.811ms         5.26%      59.811ms     233.637us           256  
