-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.78%       5.530ms        25.51%     181.074ms     427.061us       0.000us         0.00%     337.419ms     795.800us           424  
                                   ConvolutionBackward0         0.34%       2.380ms        24.30%     172.506ms     406.854us       0.000us         0.00%     332.375ms     783.903us           424  
                             aten::convolution_backward        12.30%      87.345ms        23.96%     170.126ms     401.241us     332.375ms        60.55%     332.375ms     783.903us           424  
                                           aten::conv2d         0.18%       1.305ms        11.58%      82.197ms     193.861us       0.000us         0.00%      91.890ms     216.722us           424  
                                      aten::convolution         0.54%       3.845ms        11.39%      80.892ms     190.783us       0.000us         0.00%      91.890ms     216.722us           424  
                                     aten::_convolution         0.37%       2.613ms        10.85%      77.047ms     181.715us       0.000us         0.00%      91.890ms     216.722us           424  
                                aten::cudnn_convolution         6.71%      47.653ms        10.48%      74.434ms     175.552us      91.890ms        16.74%      91.890ms     216.722us           424  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      66.474ms        12.11%      66.474ms      64.916us          1024  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      65.629ms        11.96%      65.629ms      18.190us          3608  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      64.093ms        11.68%      64.093ms      20.809us          3080  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      44.261ms         8.06%      44.261ms      13.300us          3328  
                               Optimizer.step#Adam.step        11.58%      82.239ms        38.46%     273.064ms      34.133ms       0.000us         0.00%      44.069ms       5.509ms             8  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      32.127ms         5.85%      32.127ms     200.794us           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.330ms         4.25%      23.330ms       8.238us          2832  
                                             aten::add_         6.52%      46.322ms        12.86%      91.268ms      16.001us      23.193ms         4.23%      23.193ms       4.066us          5704  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      22.608ms         4.12%      22.608ms     201.857us           112  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.71%       5.035ms         4.71%      33.433ms      78.851us       0.000us         0.00%      21.118ms      49.807us           424  
