-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.61%       4.902ms        10.67%      85.725ms     191.350us       0.000us         0.00%     325.187ms     725.864us           448  
                                   ConvolutionBackward0         0.31%       2.483ms        10.00%      80.359ms     179.373us       0.000us         0.00%     319.163ms     712.417us           448  
                             aten::convolution_backward         6.27%      50.386ms         9.70%      77.876ms     173.830us     312.716ms        39.96%     319.163ms     712.417us           448  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.66%       5.273ms         4.27%      34.264ms      76.482us       0.000us         0.00%     104.043ms     232.239us           448  
                                CudnnBatchNormBackward0         0.24%       1.894ms         3.61%      28.991ms      64.712us       0.000us         0.00%     104.043ms     232.239us           448  
                        aten::cudnn_batch_norm_backward         1.69%      13.602ms         3.37%      27.097ms      60.484us     104.043ms        13.30%     104.043ms     232.239us           448  
                                           aten::conv2d         0.17%       1.354ms         6.45%      51.793ms     115.609us       0.000us         0.00%      89.748ms     200.330us           448  
                                      aten::convolution         0.53%       4.232ms         6.28%      50.439ms     112.587us       0.000us         0.00%      89.748ms     200.330us           448  
                                     aten::_convolution         0.42%       3.343ms         5.75%      46.207ms     103.141us       0.000us         0.00%      89.748ms     200.330us           448  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      68.195ms         8.71%      68.195ms     213.109us           320  
                                       aten::batch_norm         0.12%     947.000us         4.73%      38.018ms      84.862us       0.000us         0.00%      62.167ms     138.766us           448  
                           aten::_batch_norm_impl_index         0.17%       1.369ms         4.62%      37.071ms      82.748us       0.000us         0.00%      62.167ms     138.766us           448  
                                 aten::cudnn_batch_norm         2.26%      18.150ms         4.45%      35.702ms      79.692us      62.167ms         7.94%      62.167ms     138.766us           448  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      57.706ms         7.37%      57.706ms     277.433us           208  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      50.672ms         6.48%      50.672ms     333.368us           152  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      49.253ms         6.29%      49.253ms       1.026ms            48  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      49.227ms         6.29%      49.227ms     170.927us           288  
                                aten::cudnn_convolution         3.46%      27.755ms         4.24%      34.084ms     115.149us      48.306ms         6.17%      48.306ms     163.196us           296  
