-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.16%       4.906ms         2.79%      87.106ms     194.433us       0.000us         0.00%        1.299s       2.900ms           448  
                                   ConvolutionBackward0         0.08%       2.472ms         2.62%      81.708ms     182.384us       0.000us         0.00%        1.275s       2.846ms           448  
                             aten::convolution_backward         1.65%      51.342ms         2.54%      79.236ms     176.866us        1.250s        40.45%        1.275s       2.846ms           448  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.18%       5.458ms         1.09%      33.865ms      75.592us       0.000us         0.00%     450.844ms       1.006ms           448  
                                CudnnBatchNormBackward0         0.07%       2.111ms         0.91%      28.407ms      63.408us       0.000us         0.00%     450.844ms       1.006ms           448  
                        aten::cudnn_batch_norm_backward         0.43%      13.306ms         0.84%      26.296ms      58.696us     450.844ms        14.59%     450.844ms       1.006ms           448  
                                           aten::conv2d         0.05%       1.471ms         1.76%      54.998ms     122.763us       0.000us         0.00%     334.700ms     747.098us           448  
                                      aten::convolution         0.14%       4.463ms         1.72%      53.527ms     119.480us       0.000us         0.00%     334.700ms     747.098us           448  
                                     aten::_convolution         0.11%       3.571ms         1.57%      49.064ms     109.518us       0.000us         0.00%     334.700ms     747.098us           448  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     333.405ms        10.79%     333.405ms     771.771us           432  
                                       aten::batch_norm         0.03%     973.000us         1.22%      38.121ms      85.092us       0.000us         0.00%     268.154ms     598.558us           448  
                           aten::_batch_norm_impl_index         0.05%       1.407ms         1.19%      37.148ms      82.920us       0.000us         0.00%     268.154ms     598.558us           448  
                                 aten::cudnn_batch_norm         0.57%      17.854ms         1.15%      35.741ms      79.779us     268.154ms         8.68%     268.154ms     598.558us           448  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     228.978ms         7.41%     228.978ms       1.506ms           152  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     224.924ms         7.28%     224.924ms       1.081ms           208  
void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us     201.509ms         6.52%     201.509ms     466.456us           432  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     201.009ms         6.50%     201.009ms       4.188ms            48  
                                              aten::cat         0.14%       4.456ms         0.25%       7.824ms      33.724us     180.119ms         5.83%     180.119ms     776.375us           232  
