-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.18%      45.790ms        57.23%       14.870s       4.468ms       0.000us         0.00%       12.048s       3.620ms          3328  
                                   ConvolutionBackward0         0.08%      19.802ms        56.60%       14.705s       4.419ms       0.000us         0.00%       11.896s       3.574ms          3328  
                             aten::convolution_backward         2.68%     696.928ms        56.52%       14.685s       4.413ms       10.922s        41.75%       11.896s       3.574ms          3328  
                                           aten::conv2d         0.04%      11.645ms         6.04%        1.570s     471.621us       0.000us         0.00%        5.101s       1.533ms          3328  
                                      aten::convolution         0.12%      32.246ms         6.00%        1.558s     468.122us       0.000us         0.00%        5.101s       1.533ms          3328  
                                     aten::_convolution         0.16%      41.174ms         5.87%        1.526s     458.433us       0.000us         0.00%        5.101s       1.533ms          3328  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        3.894s        14.88%        3.894s       5.070ms           768  
                                aten::cudnn_convolution         1.33%     346.797ms         3.89%        1.012s     304.020us        3.316s        12.68%        3.316s     996.459us          3328  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.02%       4.397ms         0.94%     244.120ms     635.729us       0.000us         0.00%        3.197s       8.326ms           384  
                          MaxPool2DWithIndicesBackward0         0.01%       1.901ms         0.92%     239.723ms     624.279us       0.000us         0.00%        3.197s       8.326ms           384  
                 aten::max_pool2d_with_indices_backward         0.03%       7.105ms         0.92%     237.822ms     619.328us        2.849s        10.89%        3.197s       8.326ms           384  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us        2.849s        10.89%        2.849s       7.420ms           384  
     autograd::engine::evaluate_function: ReluBackward0         0.10%      25.362ms         9.17%        2.382s     715.882us       0.000us         0.00%        2.185s     656.633us          3328  
                                          ReluBackward0         0.06%      16.106ms         9.07%        2.357s     708.261us       0.000us         0.00%        2.185s     656.633us          3328  
                               aten::threshold_backward         0.22%      58.386ms         9.01%        2.341s     703.421us        2.185s         8.35%        2.185s     656.633us          3328  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        1.959s         7.49%        1.959s       1.392ms          1408  
                                             aten::add_         0.45%     117.730ms        17.74%        4.610s     410.469us        1.804s         6.90%        1.804s     160.604us         11232  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.785s         6.82%        1.785s     536.360us          3328  
                                            aten::relu_         0.15%      37.765ms         2.20%     572.435ms     172.006us       0.000us         0.00%        1.466s     440.431us          3328  
