-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.32%       7.684ms        19.91%     115.758ms     178.639us       0.000us         0.00%     229.889ms     354.767us           648  
                                   ConvolutionBackward0         0.58%       3.384ms        18.30%     106.437ms     164.255us       0.000us         0.00%     229.212ms     353.722us           648  
                             aten::convolution_backward        11.33%      65.881ms        17.72%     103.053ms     159.032us     227.805ms        48.87%     229.212ms     353.722us           648  
                                           aten::conv2d         0.38%       2.219ms        12.98%      75.490ms     116.497us       0.000us         0.00%      60.339ms      93.116us           648  
                                      aten::convolution         1.06%       6.179ms        12.60%      73.271ms     113.073us       0.000us         0.00%      60.339ms      93.116us           648  
                                     aten::_convolution         0.92%       5.334ms        11.54%      67.092ms     103.537us       0.000us         0.00%      60.339ms      93.116us           648  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      57.554ms        12.35%      57.554ms     449.641us           128  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.80%       4.641ms         5.02%      29.188ms      74.459us       0.000us         0.00%      40.530ms     103.393us           392  
                                CudnnBatchNormBackward0         0.30%       1.738ms         4.22%      24.547ms      62.620us       0.000us         0.00%      40.530ms     103.393us           392  
                        aten::cudnn_batch_norm_backward         2.01%      11.676ms         3.92%      22.809ms      58.186us      40.530ms         8.70%      40.530ms     103.393us           392  
                                aten::_conv_depthwise2d         0.23%       1.347ms         0.68%       3.935ms      30.742us      36.062ms         7.74%      36.062ms     281.734us           128  
                                            aten::silu_         0.94%       5.478ms         4.06%      23.634ms      60.291us      14.189ms         3.04%      28.182ms      71.893us           392  
                                       aten::batch_norm         0.15%     878.000us         5.62%      32.693ms      83.401us       0.000us         0.00%      26.063ms      66.487us           392  
                           aten::_batch_norm_impl_index         0.22%       1.294ms         5.47%      31.815ms      81.161us       0.000us         0.00%      26.063ms      66.487us           392  
                                 aten::cudnn_batch_norm         2.69%      15.658ms         5.25%      30.521ms      77.860us      26.063ms         5.59%      26.063ms      66.487us           392  
                                aten::cudnn_convolution         6.95%      40.440ms         8.63%      50.181ms      96.502us      23.667ms         5.08%      23.667ms      45.513us           520  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      22.793ms         4.89%      22.793ms     284.913us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.348ms         4.58%      21.348ms       2.757us          7744  
     autograd::engine::evaluate_function: SiluBackward0         0.55%       3.173ms         2.21%      12.842ms      32.760us       0.000us         0.00%      21.137ms      53.921us           392  
