-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.36%       7.840ms        19.45%     112.069ms     172.946us       0.000us         0.00%     141.317ms     218.082us           648  
                                   ConvolutionBackward0         0.57%       3.289ms        17.79%     102.512ms     158.198us       0.000us         0.00%     140.931ms     217.486us           648  
                             aten::convolution_backward        10.91%      62.861ms        17.22%      99.223ms     153.122us     139.469ms        48.94%     140.931ms     217.486us           648  
                                           aten::conv2d         0.37%       2.160ms        12.34%      71.124ms     109.759us       0.000us         0.00%      38.531ms      59.461us           648  
                                      aten::convolution         1.10%       6.367ms        11.97%      68.964ms     106.426us       0.000us         0.00%      38.531ms      59.461us           648  
                                     aten::_convolution         0.92%       5.287ms        10.86%      62.597ms      96.600us       0.000us         0.00%      38.531ms      59.461us           648  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      36.474ms        12.80%      36.474ms     284.953us           128  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.74%       4.283ms         4.96%      28.562ms      72.862us       0.000us         0.00%      22.614ms      57.689us           392  
                                CudnnBatchNormBackward0         0.27%       1.556ms         4.21%      24.279ms      61.936us       0.000us         0.00%      22.614ms      57.689us           392  
                        aten::cudnn_batch_norm_backward         2.03%      11.706ms         3.94%      22.723ms      57.967us      22.614ms         7.94%      22.614ms      57.689us           392  
                                aten::_conv_depthwise2d         0.23%       1.313ms         0.68%       3.932ms      30.719us      19.307ms         6.78%      19.307ms     150.836us           128  
                                aten::cudnn_convolution         6.42%      37.018ms         8.14%      46.913ms      90.217us      18.602ms         6.53%      18.602ms      35.773us           520  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.509ms         6.14%      17.509ms       2.261us          7744  
                                       aten::batch_norm         0.15%     892.000us         6.40%      36.906ms      94.148us       0.000us         0.00%      15.637ms      39.890us           392  
                           aten::_batch_norm_impl_index         0.23%       1.318ms         6.25%      36.014ms      91.872us       0.000us         0.00%      15.637ms      39.890us           392  
                                 aten::cudnn_batch_norm         2.72%      15.670ms         6.02%      34.696ms      88.510us      15.637ms         5.49%      15.637ms      39.890us           392  
                                            aten::silu_         0.96%       5.505ms         4.11%      23.676ms      60.398us       7.175ms         2.52%      14.271ms      36.406us           392  
                                Optimizer.step#SGD.step         8.47%      48.818ms        28.34%     163.314ms      20.414ms       0.000us         0.00%      12.412ms       1.552ms             8  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      11.219ms         3.94%      11.219ms      70.119us           160  
