-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.98%       8.412ms        24.10%     205.883ms     317.721us       0.000us         0.00%     494.673ms     763.384us           648  
                                   ConvolutionBackward0         0.42%       3.549ms        23.10%     197.309ms     304.489us       0.000us         0.00%     494.426ms     763.003us           648  
                             aten::convolution_backward        13.32%     113.794ms        22.68%     193.760ms     299.012us     485.887ms        49.36%     494.426ms     763.003us           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     345.569ms        35.10%     345.569ms      99.074us          3488  
                                           aten::conv2d         0.23%       1.997ms        14.12%     120.596ms     186.105us       0.000us         0.00%     274.420ms     423.488us           648  
                                      aten::convolution         0.73%       6.200ms        13.88%     118.599ms     183.023us       0.000us         0.00%     274.420ms     423.488us           648  
                                     aten::_convolution         0.85%       7.268ms        13.16%     112.399ms     173.455us       0.000us         0.00%     274.420ms     423.488us           648  
                                aten::cudnn_convolution         7.39%      63.124ms        10.38%      88.631ms     136.776us     266.974ms        27.12%     266.974ms     411.997us           648  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      95.711ms         9.72%      95.711ms      10.692us          8952  
                                Optimizer.step#SGD.step         6.58%      56.187ms        21.82%     186.392ms      23.299ms       0.000us         0.00%      82.295ms      10.287ms             8  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us      65.667ms         6.67%      65.667ms     182.408us           360  
                                             aten::add_         6.11%      52.222ms        11.46%      97.890ms      15.688us      60.542ms         6.15%      60.542ms       9.702us          6240  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      45.254ms         4.60%      45.254ms      75.423us           600  
                                              aten::add         4.12%      35.228ms         6.61%      56.451ms      16.801us      42.615ms         4.33%      42.615ms      12.683us          3360  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      40.895ms         4.15%      40.895ms     255.594us           160  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile4...         0.00%       0.000us         0.00%       0.000us       0.000us      38.340ms         3.89%      38.340ms      49.922us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.375ms         3.39%      33.375ms       7.977us          4184  
                                              aten::mul         4.33%      36.960ms         6.64%      56.725ms      23.794us      27.203ms         2.76%      27.203ms      11.411us          2384  
