-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.76%       8.260ms        19.39%     211.459ms     326.326us       0.000us         0.00%     735.115ms       1.134ms           648  
                                   ConvolutionBackward0         0.31%       3.432ms        18.62%     203.039ms     313.332us       0.000us         0.00%     734.608ms       1.134ms           648  
                             aten::convolution_backward        10.71%     116.785ms        18.31%     199.607ms     308.035us     722.213ms        50.03%     734.608ms       1.134ms           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     594.331ms        41.17%     594.331ms     170.393us          3488  
                                           aten::conv2d         0.18%       1.943ms        11.14%     121.430ms     187.392us       0.000us         0.00%     423.747ms     653.931us           648  
                                      aten::convolution         0.57%       6.246ms        10.96%     119.487ms     184.394us       0.000us         0.00%     423.747ms     653.931us           648  
                                     aten::_convolution         0.68%       7.379ms        10.38%     113.241ms     174.755us       0.000us         0.00%     423.747ms     653.931us           648  
                                aten::cudnn_convolution         5.87%      63.982ms         8.21%      89.540ms     138.179us     409.924ms        28.39%     409.924ms     632.599us           648  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     103.388ms         7.16%     103.388ms      11.549us          8952  
                                Optimizer.step#SGD.step         4.98%      54.307ms        37.70%     411.103ms      51.388ms       0.000us         0.00%      82.351ms      10.294ms             8  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      78.904ms         5.47%      78.904ms     493.150us           160  
                                             aten::add_         4.76%      51.899ms        16.27%     177.400ms      28.429us      67.297ms         4.66%      67.297ms      10.785us          6240  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      55.834ms         3.87%      55.834ms      93.057us           600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.339ms         3.83%      55.339ms      13.226us          4184  
                                              aten::mul         3.30%      35.942ms         5.04%      54.990ms      23.066us      52.721ms         3.65%      52.721ms      22.115us          2384  
                                              aten::add         3.36%      36.681ms        13.04%     142.216ms      42.326us      49.914ms         3.46%      49.914ms      14.855us          3360  
      autograd::engine::evaluate_function: MulBackward0         0.90%       9.775ms         4.83%      52.720ms      38.994us       0.000us         0.00%      43.997ms      32.542us          1352  
                                           MulBackward0         0.37%       4.062ms         3.37%      36.796ms      27.216us       0.000us         0.00%      38.603ms      28.553us          1352  
