-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.32%      14.232ms        27.25%     293.170ms     261.759us       0.000us         0.00%     164.718ms     147.070us          1120  
                                   ConvolutionBackward0         0.62%       6.634ms        25.45%     273.843ms     244.503us       0.000us         0.00%     164.037ms     146.462us          1120  
                             aten::convolution_backward        14.89%     160.195ms        24.83%     267.209ms     238.579us     161.056ms        51.29%     164.037ms     146.462us          1120  
                                           aten::conv2d         0.33%       3.586ms        13.25%     142.585ms     127.308us       0.000us         0.00%      67.928ms      60.650us          1120  
                                      aten::convolution         1.01%      10.872ms        12.92%     138.999ms     124.106us       0.000us         0.00%      67.928ms      60.650us          1120  
                                     aten::_convolution         0.81%       8.674ms        11.91%     128.127ms     114.399us       0.000us         0.00%      67.928ms      60.650us          1120  
                                aten::cudnn_convolution         7.59%      81.703ms        10.22%     109.923ms      98.146us      67.064ms        21.36%      67.064ms      59.879us          1120  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      53.401ms        17.01%      53.401ms      18.963us          2816  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      47.592ms        15.16%      47.592ms      21.712us          2192  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      47.481ms        15.12%      47.481ms      15.701us          3024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.763ms        11.07%      34.763ms       2.486us         13984  
                                Optimizer.step#SGD.step         7.02%      75.540ms        23.37%     251.428ms      31.428ms       0.000us         0.00%      31.965ms       3.996ms             8  
                                             aten::add_         7.69%      82.709ms        13.80%     148.445ms      14.599us      23.869ms         7.60%      23.869ms       2.347us         10168  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us      22.544ms         7.18%      22.544ms      36.128us           624  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.817ms         5.99%      18.817ms      43.558us           432  
                                              aten::add         4.36%      46.898ms         6.71%      72.209ms      16.032us      12.285ms         3.91%      12.285ms       2.728us          4504  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.76%       8.190ms         5.00%      53.838ms      78.253us       0.000us         0.00%      11.475ms      16.679us           688  
                                CudnnBatchNormBackward0         0.29%       3.137ms         4.24%      45.648ms      66.349us       0.000us         0.00%      11.475ms      16.679us           688  
