-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.21%      14.064ms        29.44%     340.789ms     304.276us       0.000us         0.00%     670.861ms     598.983us          1120  
                                   ConvolutionBackward0         0.55%       6.423ms        27.78%     321.629ms     287.169us       0.000us         0.00%     667.001ms     595.537us          1120  
                             aten::convolution_backward        15.85%     183.537ms        27.23%     315.206ms     281.434us     665.002ms        72.31%     667.001ms     595.537us          1120  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     343.367ms        37.34%     343.367ms      74.002us          4640  
                                           aten::conv2d         0.32%       3.735ms        13.06%     151.218ms     135.016us       0.000us         0.00%     132.297ms     118.122us          1120  
                                      aten::convolution         0.93%      10.740ms        12.74%     147.483ms     131.681us       0.000us         0.00%     132.297ms     118.122us          1120  
                                     aten::_convolution         0.74%       8.509ms        11.81%     136.743ms     122.092us       0.000us         0.00%     132.297ms     118.122us          1120  
                                aten::cudnn_convolution         7.31%      84.662ms        10.14%     117.438ms     104.855us     131.229ms        14.27%     131.229ms     117.169us          1120  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      88.028ms         9.57%      88.028ms      31.260us          2816  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile4...         0.00%       0.000us         0.00%       0.000us       0.000us      80.262ms         8.73%      80.262ms      38.440us          2088  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      52.579ms         5.72%      52.579ms      24.990us          2104  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      39.429ms         4.29%      39.429ms      18.884us          2088  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.910ms         3.58%      32.910ms       2.428us         13552  
void precomputed_convolve_sgemm<float, 512, 6, 7, 4,...         0.00%       0.000us         0.00%       0.000us       0.000us      32.230ms         3.50%      32.230ms     108.885us           296  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      31.828ms         3.46%      31.828ms      82.885us           384  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.69%       7.976ms         4.72%      54.601ms      79.362us       0.000us         0.00%      23.881ms      34.711us           688  
                                CudnnBatchNormBackward0         0.28%       3.202ms         4.03%      46.625ms      67.769us       0.000us         0.00%      23.881ms      34.711us           688  
