-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.12%       5.838ms         1.10%      53.501ms     136.482us       0.000us         0.00%        1.867s       4.763ms           392  
                                         AddmmBackward0         0.09%       4.149ms         0.66%      32.148ms      82.010us       0.000us         0.00%        1.782s       4.545ms           392  
                                               aten::mm         0.28%      13.391ms         0.45%      21.986ms      28.043us        1.782s        36.23%        1.782s       2.272ms           784  
                                           aten::linear         0.06%       2.966ms         6.93%     337.062ms     859.852us       0.000us         0.00%        1.097s       2.798ms           392  
                                            aten::addmm         0.33%      16.012ms         6.73%     327.330ms     835.026us        1.097s        22.31%        1.097s       2.798ms           392  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     973.010ms        19.79%     973.010ms       2.534ms           384  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     972.530ms        19.78%     972.530ms       2.533ms           384  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     859.515ms        17.48%     859.515ms       1.761ms           488  
                                              aten::bmm         0.19%       9.291ms         2.35%     114.194ms     198.253us     517.715ms        10.53%     517.715ms     898.811us           576  
      autograd::engine::evaluate_function: BmmBackward0         0.03%       1.651ms         0.26%      12.551ms      65.370us       0.000us         0.00%     340.863ms       1.775ms           192  
                                           BmmBackward0         0.03%       1.378ms         0.22%      10.900ms      56.771us       0.000us         0.00%     340.863ms       1.775ms           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     312.598ms         6.36%     312.598ms     289.443us          1080  
autograd::engine::evaluate_function: SelectBackward0...         0.06%       2.927ms         0.48%      23.469ms      79.287us       0.000us         0.00%     289.700ms     978.716us           296  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     285.061ms         5.80%     285.061ms      48.812us          5840  
                                              aten::add         0.57%      27.948ms        19.28%     938.339ms     426.518us     269.171ms         5.47%     269.171ms     122.350us          2200  
                                           aten::matmul         0.05%       2.308ms         4.29%     208.911ms       1.088ms       0.000us         0.00%     243.856ms       1.270ms           192  
                                            aten::copy_         0.17%       8.481ms         3.35%     162.810ms     183.345us     224.771ms         4.57%     224.771ms     253.120us           888  
                                       aten::layer_norm         0.01%     472.000us         2.12%     103.045ms     515.225us       0.000us         0.00%     213.370ms       1.067ms           200  
                                aten::native_layer_norm         0.11%       5.545ms         2.11%     102.573ms     512.865us     213.370ms         4.34%     213.370ms       1.067ms           200  
