-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.39%       5.959ms        12.22%      52.480ms     133.878us       0.000us         0.00%      78.871ms     201.202us           392  
                                         AddmmBackward0         1.00%       4.284ms         8.08%      34.720ms      88.571us       0.000us         0.00%      69.246ms     176.648us           392  
                                               aten::mm         3.28%      14.074ms         5.62%      24.159ms      30.815us      69.246ms        29.68%      69.246ms      88.324us           784  
                                           aten::linear         0.70%       3.002ms         7.74%      33.273ms      84.880us       0.000us         0.00%      41.497ms     105.860us           392  
                                            aten::addmm         3.62%      15.537ms         5.55%      23.849ms      60.839us      41.497ms        17.78%      41.497ms     105.860us           392  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      36.020ms        15.44%      36.020ms      73.811us           488  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.149ms        15.06%      35.149ms       6.019us          5840  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      32.144ms        13.78%      32.144ms      66.967us           480  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      31.923ms        13.68%      31.923ms      66.506us           480  
                                Optimizer.step#SGD.step         8.26%      35.505ms        27.02%     116.087ms      14.511ms       0.000us         0.00%      26.424ms       3.303ms             8  
                                              aten::bmm         2.12%       9.123ms         3.11%      13.370ms      23.212us      23.917ms        10.25%      23.917ms      41.523us           576  
                                              aten::add         6.37%      27.362ms        10.11%      43.415ms      19.734us      18.448ms         7.91%      18.448ms       8.385us          2200  
                                             aten::add_         6.36%      27.304ms        12.47%      53.559ms      14.650us      16.809ms         7.20%      16.809ms       4.598us          3656  
      autograd::engine::evaluate_function: BmmBackward0         0.39%       1.658ms         3.00%      12.870ms      67.031us       0.000us         0.00%      15.802ms      82.302us           192  
                                           BmmBackward0         0.33%       1.439ms         2.61%      11.212ms      58.396us       0.000us         0.00%      15.802ms      82.302us           192  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      12.925ms         5.54%      12.925ms     134.635us            96  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.660ms         5.43%      12.660ms      11.722us          1080  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      12.414ms         5.32%      12.414ms     129.312us            96  
                                           aten::matmul         0.51%       2.175ms         5.41%      23.222ms     120.948us       0.000us         0.00%      11.001ms      57.297us           192  
