-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.46%       5.047ms        21.81%      75.332ms     241.449us       0.000us         0.00%      62.053ms     198.888us           312  
                                   ConvolutionBackward0         0.51%       1.752ms        18.59%      64.233ms     205.875us       0.000us         0.00%      60.890ms     195.160us           312  
                             aten::convolution_backward        13.07%      45.164ms        18.09%      62.481ms     200.260us      60.890ms        42.07%      60.890ms     195.160us           312  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.084ms        20.09%      29.084ms       6.658us          4368  
                                           aten::conv2d         0.30%       1.035ms        11.69%      40.379ms     129.420us       0.000us         0.00%      28.874ms      92.545us           312  
                                      aten::convolution         0.89%       3.060ms        11.39%      39.344ms     126.103us       0.000us         0.00%      28.874ms      92.545us           312  
                                     aten::_convolution         0.54%       1.869ms        10.50%      36.284ms     116.295us       0.000us         0.00%      28.874ms      92.545us           312  
                                aten::cudnn_convolution         8.00%      27.626ms         9.96%      34.415ms     110.304us      28.874ms        19.95%      28.874ms      92.545us           312  
                                Optimizer.step#SGD.step         7.78%      26.867ms        25.79%      89.097ms      11.137ms       0.000us         0.00%      26.712ms       3.339ms             8  
                                             aten::add_         7.85%      27.100ms        14.19%      49.001ms      15.467us      18.046ms        12.47%      18.046ms       5.696us          3168  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      15.007ms        10.37%      15.007ms      60.512us           248  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      14.522ms        10.03%      14.522ms      58.556us           248  
                                              aten::add         5.38%      18.574ms         8.21%      28.376ms      18.767us      11.935ms         8.25%      11.935ms       7.894us          1512  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.545ms         7.98%      11.545ms      90.195us           128  
void cudnn::winograd::generateWinogradTilesKernel<1,...         0.00%       0.000us         0.00%       0.000us       0.000us       8.003ms         5.53%       8.003ms      16.135us           496  
autograd::engine::evaluate_function: torch::autograd...         1.34%       4.621ms         7.44%      25.697ms      26.993us       0.000us         0.00%       5.925ms       6.224us           952  
                        torch::autograd::AccumulateGrad         1.29%       4.453ms         6.10%      21.076ms      22.139us       0.000us         0.00%       5.925ms       6.224us           952  
autograd::engine::evaluate_function: CudnnBatchNormB...         1.07%       3.712ms         7.23%      24.980ms      80.064us       0.000us         0.00%       5.902ms      18.917us           312  
