-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.84%       5.157ms        27.34%     168.208ms     539.128us       0.000us         0.00%     350.430ms       1.123ms           312  
                                   ConvolutionBackward0         0.30%       1.867ms        23.62%     145.339ms     465.830us       0.000us         0.00%     338.382ms       1.085ms           312  
                             aten::convolution_backward         7.90%      48.593ms        23.32%     143.472ms     459.846us     338.382ms        51.97%     338.382ms       1.085ms           312  
                                           aten::conv2d         0.17%       1.036ms         7.74%      47.633ms     152.670us       0.000us         0.00%     138.237ms     443.067us           312  
                                      aten::convolution         0.51%       3.164ms         7.57%      46.597ms     149.349us       0.000us         0.00%     138.237ms     443.067us           312  
                                     aten::_convolution         0.31%       1.883ms         7.06%      43.433ms     139.208us       0.000us         0.00%     138.237ms     443.067us           312  
                                aten::cudnn_convolution         4.65%      28.606ms         6.75%      41.550ms     133.173us     138.237ms        21.23%     138.237ms     443.067us           312  
                                 maxwell_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      52.726ms         8.10%      52.726ms     205.961us           256  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.61%       3.760ms         4.59%      28.249ms      90.542us       0.000us         0.00%      38.676ms     123.962us           312  
                                CudnnBatchNormBackward0         0.25%       1.529ms         3.98%      24.489ms      78.490us       0.000us         0.00%      38.676ms     123.962us           312  
                        aten::cudnn_batch_norm_backward         1.60%       9.855ms         3.73%      22.960ms      73.590us      38.676ms         5.94%      38.676ms     123.962us           312  
                                 maxwell_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      35.936ms         5.52%      35.936ms     224.600us           160  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      35.223ms         5.41%      35.223ms       1.468ms            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.231ms         4.03%      26.231ms       6.354us          4128  
void cudnn::winograd_nonfused::winogradForwardData4x...         0.00%       0.000us         0.00%       0.000us       0.000us      25.702ms         3.95%      25.702ms      84.546us           304  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      25.205ms         3.87%      25.205ms       1.050ms            24  
                                       aten::batch_norm         0.11%     656.000us         4.35%      26.766ms      85.788us       0.000us         0.00%      24.572ms      78.756us           312  
                           aten::_batch_norm_impl_index         0.16%     976.000us         4.24%      26.110ms      83.686us       0.000us         0.00%      24.572ms      78.756us           312  
