-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%       1.146ms        16.71%     184.840ms       1.777ms       0.000us         0.00%     452.214ms       4.348ms           104  
                                   ConvolutionBackward0         0.05%     601.000us        16.61%     183.694ms       1.766ms       0.000us         0.00%     452.214ms       4.348ms           104  
                             aten::convolution_backward         1.57%      17.357ms        16.56%     183.093ms       1.761ms     433.510ms        38.96%     452.214ms       4.348ms           104  
                                           aten::conv2d         0.03%     324.000us         8.75%      96.810ms     930.865us       0.000us         0.00%     233.559ms       2.246ms           104  
                                      aten::convolution         0.09%     988.000us         8.72%      96.486ms     927.750us       0.000us         0.00%     233.559ms       2.246ms           104  
                                     aten::_convolution         0.11%       1.202ms         8.64%      95.498ms     918.250us       0.000us         0.00%     233.559ms       2.246ms           104  
                               Optimizer.step#Adam.step         1.57%      17.336ms        32.52%     359.597ms      44.950ms       0.000us         0.00%     206.314ms      25.789ms             8  
                                aten::cudnn_convolution         0.87%       9.664ms         7.48%      82.684ms     795.038us     195.156ms        17.54%     195.156ms       1.877ms           104  
                                             aten::add_         0.86%       9.464ms        14.55%     160.871ms     142.616us     120.658ms        10.84%     120.658ms     106.966us          1128  
                                maxwell_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      92.274ms         8.29%      92.274ms       1.442ms            64  
                                 maxwell_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      90.671ms         8.15%      90.671ms     871.837us           104  
                                maxwell_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      69.907ms         6.28%      69.907ms       1.456ms            48  
      maxwell_scudnn_128x64_stridedB_splitK_large_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      63.196ms         5.68%      63.196ms       7.899ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.144ms         5.58%      62.144ms      79.265us           784  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.673ms         5.54%      61.673ms     120.455us           512  
     autograd::engine::evaluate_function: ReluBackward0         0.08%     845.000us         3.44%      38.040ms     317.000us       0.000us         0.00%      48.048ms     400.400us           120  
                                          ReluBackward0         0.06%     622.000us         3.36%      37.195ms     309.958us       0.000us         0.00%      48.048ms     400.400us           120  
                               aten::threshold_backward         0.16%       1.753ms         3.31%      36.573ms     304.775us      48.048ms         4.32%      48.048ms     400.400us           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.048ms         4.32%      48.048ms     400.400us           120  
