-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.68%       8.414ms        14.45%     177.933ms     313.262us       0.000us         0.00%     532.116ms     936.824us           568  
                                   ConvolutionBackward0         0.27%       3.341ms        13.14%     161.764ms     284.796us       0.000us         0.00%     509.096ms     896.296us           568  
                             aten::convolution_backward         9.30%     114.542ms        12.87%     158.423ms     278.914us     499.617ms        42.21%     509.096ms     896.296us           568  
                                      aten::convolution         0.46%       5.629ms         9.35%     115.104ms     175.463us       0.000us         0.00%     256.089ms     390.380us           656  
                                     aten::_convolution         0.44%       5.358ms         8.89%     109.475ms     166.883us       0.000us         0.00%     256.089ms     390.380us           656  
                                           aten::conv2d         0.17%       2.105ms         9.40%     115.696ms     178.543us       0.000us         0.00%     244.128ms     376.741us           648  
                                aten::cudnn_convolution         6.66%      81.984ms         7.90%      97.307ms     150.165us     230.996ms        19.51%     230.996ms     356.475us           648  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      98.913ms         8.36%      98.913ms     526.133us           188  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      94.210ms         7.96%      94.210ms      23.839us          3952  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      89.375ms         7.55%      89.375ms     572.917us           156  
                                              aten::add         2.63%      32.425ms         4.03%      49.657ms      21.856us      79.742ms         6.74%      79.742ms      35.098us          2272  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      70.028ms         5.92%      70.028ms     460.711us           152  
                                maxwell_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      68.697ms         5.80%      68.697ms     457.980us           150  
                                             aten::add_         1.71%      21.088ms         3.05%      37.605ms      15.412us      64.804ms         5.47%      64.804ms      26.559us          2440  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      60.736ms         5.13%      60.736ms     453.254us           134  
                                              aten::mul         2.29%      28.240ms         3.50%      43.032ms      21.094us      56.312ms         4.76%      56.312ms      27.604us          2040  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      54.319ms         4.59%      54.319ms      60.354us           900  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.417ms         4.43%      52.417ms      55.292us           948  
