-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.30%       8.692ms         6.56%     191.124ms     336.486us       0.000us         0.00%        1.320s       2.325ms           568  
                                   ConvolutionBackward0         0.12%       3.486ms         6.00%     174.737ms     307.636us       0.000us         0.00%        1.264s       2.224ms           568  
                             aten::convolution_backward         4.28%     124.758ms         5.88%     171.251ms     301.498us        1.241s        43.87%        1.264s       2.224ms           568  
                                      aten::convolution         0.20%       5.833ms         4.30%     125.269ms     190.959us       0.000us         0.00%     644.348ms     982.238us           656  
                                     aten::_convolution         0.19%       5.511ms         4.10%     119.436ms     182.067us       0.000us         0.00%     644.348ms     982.238us           656  
                                           aten::conv2d         0.08%       2.204ms         4.32%     125.862ms     194.231us       0.000us         0.00%     614.078ms     947.651us           648  
                                aten::cudnn_convolution         3.10%      90.289ms         3.68%     107.025ms     165.162us     580.570ms        20.53%     580.570ms     895.941us           648  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us     238.173ms         8.42%     238.173ms       1.567ms           152  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us     235.899ms         8.34%     235.899ms       1.650ms           143  
                                maxwell_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     195.118ms         6.90%     195.118ms       1.134ms           172  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     184.174ms         6.51%     184.174ms       1.035ms           178  
                                              aten::add         1.11%      32.392ms         1.75%      51.091ms      22.330us     180.355ms         6.38%     180.355ms      78.826us          2288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     173.639ms         6.14%     173.639ms      43.584us          3984  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     146.929ms         5.20%     146.929ms       1.324ms           111  
                                              aten::mul         0.98%      28.569ms         1.55%      45.069ms      20.943us     139.504ms         4.93%     139.504ms      64.825us          2152  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     136.474ms         4.83%     136.474ms     144.570us           944  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     130.928ms         4.63%     130.928ms     121.230us          1080  
autograd::engine::evaluate_function: torch::autograd...         0.03%     918.000us         0.20%       5.849ms      91.391us       0.000us         0.00%     123.074ms       1.923ms            64  
