-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.25%       8.165ms         4.44%     143.890ms     236.661us       0.000us         0.00%        1.618s       2.662ms           608  
                                   ConvolutionBackward0         0.11%       3.604ms         4.03%     130.587ms     214.781us       0.000us         0.00%        1.562s       2.570ms           608  
                             aten::convolution_backward         2.79%      90.405ms         3.91%     126.983ms     208.854us        1.561s        50.99%        1.562s       2.570ms           608  
                                           aten::conv2d         0.06%       1.972ms         2.63%      85.304ms     140.303us       0.000us         0.00%     574.082ms     944.214us           608  
                                      aten::convolution         0.19%       6.035ms         2.57%      83.332ms     137.059us       0.000us         0.00%     574.082ms     944.214us           608  
                                     aten::_convolution         0.12%       4.008ms         2.38%      77.297ms     127.133us       0.000us         0.00%     574.082ms     944.214us           608  
                                aten::cudnn_convolution         1.77%      57.294ms         2.24%      72.659ms     119.505us     571.777ms        18.68%     571.777ms     940.423us           608  
                                maxwell_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     280.456ms         9.16%     280.456ms     876.425us           320  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.23%       7.331ms         1.41%      45.788ms      78.404us       0.000us         0.00%     239.677ms     410.406us           584  
                                CudnnBatchNormBackward0         0.09%       2.997ms         1.19%      38.457ms      65.851us       0.000us         0.00%     239.677ms     410.406us           584  
                        aten::cudnn_batch_norm_backward         0.57%      18.377ms         1.09%      35.460ms      60.719us     239.677ms         7.83%     239.677ms     410.406us           584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     200.467ms         6.55%     200.467ms      16.235us         12348  
                                maxwell_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     161.416ms         5.27%     161.416ms     877.261us           184  
                                       aten::batch_norm         0.04%       1.163ms         1.50%      48.646ms      83.298us       0.000us         0.00%     143.000ms     244.863us           584  
                           aten::_batch_norm_impl_index         0.06%       1.812ms         1.46%      47.483ms      81.307us       0.000us         0.00%     143.000ms     244.863us           584  
                                 aten::cudnn_batch_norm         0.72%      23.387ms         1.41%      45.671ms      78.204us     143.000ms         4.67%     143.000ms     244.863us           584  
                                              aten::add         1.28%      41.538ms         8.55%     277.211ms      78.132us     140.849ms         4.60%     140.849ms      39.698us          3548  
autograd::engine::evaluate_function: LeakyReluBackwa...         0.12%       3.745ms         0.63%      20.397ms      34.926us       0.000us         0.00%     136.351ms     233.478us           584  
                                     LeakyReluBackward1         0.09%       2.767ms         0.51%      16.652ms      28.514us       0.000us         0.00%     136.351ms     233.478us           584  
